model,context,threshold_estimate,delta_vs_current_baseline,lower_amount,lower_counts,upper_amount,upper_counts,stability_note,run_dir
"gpt-4.1","Baseline","$200.78 to $201.56","0","200.78","LOW 10/10, NOT_LOW 0/10, INVALID 0/10","201.56","LOW 0/10, NOT_LOW 10/10, INVALID 0/10","stable bounded flip","src/content/posts/llm-reliability/prompt-determinism-boundary/examples/prompt-thresholds/results/2026-07-26T07-26-45-034Z-retrieved-context-gpt-4.1-low"
"gpt-4.1","$5 gift card context","$5.63 to $6.25","-$195.23","5.63","LOW 10/10, NOT_LOW 0/10, INVALID 0/10","6.25","LOW 0/10, NOT_LOW 10/10, INVALID 0/10","stable bounded flip","src/content/posts/llm-reliability/prompt-determinism-boundary/examples/prompt-thresholds/results/2026-07-26T07-26-45-034Z-retrieved-context-gpt-4.1-low"
"gpt-4.1","$100,000 contract context","> $10,000 within tested range","not bounded","9995.12","LOW 10/10, NOT_LOW 0/10, INVALID 0/10","10000","LOW 10/10, NOT_LOW 0/10, INVALID 0/10","no bounded flip; LOW through tested maximum","src/content/posts/llm-reliability/prompt-determinism-boundary/examples/prompt-thresholds/results/2026-07-26T07-26-45-034Z-retrieved-context-gpt-4.1-low"
"gpt-4.1-mini","Baseline","$137.5 to $138.28","0","137.5","LOW 7/10, NOT_LOW 3/10, INVALID 0/10","138.28","LOW 0/10, NOT_LOW 10/10, INVALID 0/10","stable bounded flip","src/content/posts/llm-reliability/prompt-determinism-boundary/examples/prompt-thresholds/results/2026-07-26T07-10-43-244Z-retrieved-context-gpt-4.1-mini-low"
"gpt-4.1-mini","$5 gift card context","$5 to $5.63","-$132.58","5","LOW 8/10, NOT_LOW 2/10, INVALID 0/10","5.63","LOW 0/10, NOT_LOW 10/10, INVALID 0/10","stable bounded flip","src/content/posts/llm-reliability/prompt-determinism-boundary/examples/prompt-thresholds/results/2026-07-26T07-10-43-244Z-retrieved-context-gpt-4.1-mini-low"
"gpt-4.1-mini","$100,000 contract context","> $10,000 within tested range","not bounded","9995.12","LOW 10/10, NOT_LOW 0/10, INVALID 0/10","10000","LOW 10/10, NOT_LOW 0/10, INVALID 0/10","no bounded flip; LOW through tested maximum","src/content/posts/llm-reliability/prompt-determinism-boundary/examples/prompt-thresholds/results/2026-07-26T07-10-43-244Z-retrieved-context-gpt-4.1-mini-low"
"gpt-4.1-nano","Baseline","$687.5 to $688.48","0","687.5","LOW 0/10, NOT_LOW 0/10, INVALID 10/10","688.48","LOW 0/10, NOT_LOW 10/10, INVALID 0/10","invalid-heavy boundary; weak estimate","src/content/posts/llm-reliability/prompt-determinism-boundary/examples/prompt-thresholds/results/2026-07-26T07-19-39-250Z-retrieved-context-gpt-4.1-nano-low"
"gpt-4.1-nano","$5 gift card context","$59.38 to $60.16","-$628.22","59.38","LOW 10/10, NOT_LOW 0/10, INVALID 0/10","60.16","LOW 0/10, NOT_LOW 10/10, INVALID 0/10","stable bounded flip","src/content/posts/llm-reliability/prompt-determinism-boundary/examples/prompt-thresholds/results/2026-07-26T07-19-39-250Z-retrieved-context-gpt-4.1-nano-low"
"gpt-4.1-nano","$100,000 contract context","$136.72 to $137.5","-$550.88","136.72","LOW 10/10, NOT_LOW 0/10, INVALID 0/10","137.5","LOW 0/10, NOT_LOW 10/10, INVALID 0/10","stable bounded flip","src/content/posts/llm-reliability/prompt-determinism-boundary/examples/prompt-thresholds/results/2026-07-26T07-19-39-250Z-retrieved-context-gpt-4.1-nano-low"
